ALBANIA	Z100
ANDORRA	Z101
AUSTRIA	Z102
BELGIO	Z103
BULGARIA	Z104
CECOSLOVACCHIA	Z105
CECOSLOVACCHIA	Z105
CITTA' DEL VATICANO	Z106
DANIMARCA	Z107
FAER OER	Z108
FINLANDIA	Z109
FRANCIA	Z110
GERMANIA REPUBBLICA DEMOCRATICA	Z111
GERMANIA	Z112
GERMANIA REPUBBLICA FEDERALE	Z112
GIBILTERRA	Z113
GRAN BRETAGNA E IRLANDA DEL NORD	Z114
GRECIA	Z115
IRLANDA=EIRE	Z116
ISLANDA	Z117
IUGOSLAVIA	Z118
LIECHTENSTEIN	Z119
LUSSEMBURGO	Z120
MALTA	Z121
MAN	Z122
MONACO	Z123
NORMANNE	Z124
NORVEGIA	Z125
PAESI BASSI	Z126
REPUBBLICA DI POLONIA	Z127
POLONIA	Z127
PORTOGALLO	Z128
ROMANIA	Z129
SAN MARINO	Z130
SPAGNA	Z131
SVEZIA	Z132
SVIZZERA	Z133
UNGHERIA	Z134
UNIONE REPUBBLICHE SOCIALISTE SOVIETICHE	Z135
GEORGIA	Z136
ARMENIA	Z137
UCRAINA	Z138
BIELORUSSIA	Z139
MOLDAVIA	Z140
AZERBAIGIAN	Z141
KIRGHIZISTAN	Z142
UZBEKISTAN	Z143
ESTONIA	Z144
LETTONIA	Z145
LITUANIA	Z146
TAGIKISTAN	Z147
MACEDONIA	Z148
CROAZIA	Z149
SLOVENIA	Z150
TURKEMENISTAN	Z151
KAZAKISTAN	Z152
BOSNIA ED ERZEGOVINA	Z153
RUSSIA	Z154
SLOVACCHIA	Z155
CECA REPUBBLICA	Z156
SERBIA E MONTENEGRO	Z157
SERBIA	Z158
MONTENEGRO	Z159
KOSSOVO	Z160
TERRITORI PALESTINESI	Z161
AFGHANISTAN	Z200
ARABIA MERIDIONALE FEDERAZIONE	Z201
ARABIA MERIDIONALE PROTETTORATO	Z202
ARABIA SAUDITA	Z203
BAHREIN	Z204
BAHREIN	Z204
BHUTAN	Z205
BIRMANIA	Z206
BRUNEI	Z207
BRUNEI	Z207
CAMBOGIA	Z208
SRI LANKA	Z209
CEYLON	Z209
CINA REPUBBLICA POPOLARE	Z210
CIPRO	Z211
COCOS	Z212
COREA DEL SUD	Z213
COREA DEL NORD	Z214
COSTA DEI PIRATI	Z215
EMIRATI ARABI UNITI	Z215
FILIPPINE	Z216
REPUBBLICA DELLA CINA NAZIONALE	Z217
FORMOSA	Z217
GAZA	Z218
GIAPPONE	Z219
GIORDANIA	Z220
HONG KONG	Z221
INDIA	Z222
INDONESIA	Z223
IRAN	Z224
IRAQ	Z225
ISRAELE	Z226
KUWAIT	Z227
LAOS	Z228
LIBANO	Z229
MALAYSIA	Z230
MALAYSIA	Z230
MACAO	Z231
MALDIVE	Z232
MONGOLIA	Z233
NEPAL	Z234
OMAN	Z235
PAKISTAN	Z236
QATAR	Z237
QATAR	Z237
RYUKYU	Z238
SIKKIM	Z239
SIRIA	Z240
THAILANDIA	Z241
TIMOR	Z242
TURCHIA	Z243
VIETNAM DEL SUD	Z244
VIETNAM DEL NORD	Z245
YEMEN	Z246
MALAYSIA	Z247
SINGAPORE	Z248
BANGLADESH	Z249
YEMEN REPUBBLICA DEMOCRATICA POPOLARE	Z250
VIETNAM	Z251
ARMENIA	Z252
AZERBAIGIAN	Z253
GEORGIA	Z254
KAZAKISTAN	Z255
KIRGHIZISTAN	Z256
TAGIKISTAN	Z257
TURKEMENISTAN	Z258
UZBEKISTAN	Z259
AFRICA DEL SUD-OVEST	Z300
NAMIBIA=AFRICA DEL SUD OVEST	Z300
NAMIBIA	Z300
ALGERIA	Z301
ANGOLA	Z302
ANGOLA	Z302
BASUTOLAND-SUD AFRICA BRITANNICO	Z303
BECIUANIA-SUD AFRICA BRITANNICO	Z304
BURUNDI	Z305
CAMERUN	Z306
CAPO VERDE	Z307
CAPO VERDE	Z307
CENTRAFRICANA REPUBBLICA	Z308
CENTROAFRICANA REPUBBLICA	Z308
CENTROAFRICANO IMPERO	Z308
CIAD	Z309
COMORE	Z310
CONGO REPUBBLICA POPOLARE	Z311
CONGO BRAZZAVILLE	Z311
CONGO REPUBBLICA DEMOCRATICA	Z312
ZAIRE	Z312
CONGO LEOPOLDVILLE	Z312
COSTA D'AVORIO	Z313
DAHOMEY	Z314
BENIN	Z314
ETIOPIA	Z315
GABON	Z316
GAMBIA	Z317
GHANA	Z318
GUINEA	Z319
GUINEA PORTOGHESE	Z320
GUINEA BISSAU	Z320
GUINEA SPAGNOLA	Z321
GUINEA EQUATORIALE	Z321
KENYA	Z322
IFNI	Z323
LA REUNION	Z324
LIBERIA	Z325
LIBIA	Z326
MADAGASCAR	Z327
MALAWI	Z328
MALI	Z329
MAROCCO	Z330
MAURITANIA	Z331
MAURIZIO	Z332
MOZAMBICO	Z333
NIGER	Z334
NIGERIA	Z335
EGITTO	Z336
